,tower_name,deck_height,0,1,2,3,4,5
0,Shanghai Tower,562,18,0,-1,3,1,-1
1,Ping An Finance Centre,562,5,2,-2,-1,-7,0
2,Burj Khalifa,555,4,-1,-1,-1,-6,-5
3,Merdeka 118,510,53,38,34,30,39,37
4,Canton Tower,488,5,0,2,-7,0,0
5,Lotte World Tower,486,18,17,9,9,9,9
6,Abraj Al Bait,486,306,294,275,278,266,250
7,Shanghai World Financial Center,474,8,-3,2,6,4,4
8,Burj Khalifa,452,4,-1,-1,-1,-6,-5
9,Tokyo Skytree,451.2,6,-3,1,2,2,-3
10,Taipei 101,449.2,11,8,10,9,-2,8
11,CN Tower,446.7,83,73,71,72,73,73
12,Willis Tower,412.7,181,177,175,169,175,175
13,Sky100,393,21,-1,0,0,0,0
14,One World Trade Center,386.6,6,0,0,0,0,0
15,Landmark 81,382,3,0,0,-2,-2,0
16,Petronas Towers,370,55,23,38,42,35,36
17,Empire State Building,369,48,12,0,-2,0,-2
18,Iconic Tower,368,322,313,299,294,289,282
19,Lakhta Center,357,7,0,0,0,0,0
20,Oriental Pearl Tower,351,8,-1,4,0,6,5
21,Tuntex Sky Tower,341,34,0,0,0,0,0
22,Jin Mao Tower,340.1,18,-1,4,2,5,1
23,30 Hudson Yards,340,15,0,0,0,-2,0
24,Ostankino Tower,340,162,156,141,131,132,135
25,John Hancock Center,313.8,188,175,175,175,175,175
26,Milad Tower,312,1445,1342,1286,1255,1224,1192
27,China World Trade Center Tower III,311.8,52,42,39,39,36,37
28,One Vanderbilt,310.9,21,6,-4,-3,0,0
29,Shun Hing Square,298.1,5,8,0,-1,5,2
30,US Bank Tower,297,114,86,75,67,62,51
31,Kingdom Centre,290,638,618,612,604,609,608
32,Abeno Harukas,288,31,8,5,0,3,0
33,Zifeng Tower,287,20,10,7,9,8,4
34,Eureka Tower,285,17,1,1,6,0,0
35,King Power MahaNakhon,281.6,8,4,6,5,2,-1
36,Etihad Towers (Tower 2),281.6,3,0,-2,0,0,0
37,Eiffel Tower,276.1,49,23,38,39,30,28
38,Menara Kuala Lumpur,276,85,37,36,38,36,43
39,Columbia Center,275,52,0,0,0,0,-1
40,Yokohama Landmark,273,8,0,0,0,0,-4
41,One Liberty Place,269,60,6,9,0,5,2
42,Bank of America Plaza (Dallas),268.4,122,125,126,123,130,129
43,JPMorgan Chase Tower,268.2,33,4,4,13,13,15
44,Sydney Tower,268,79,0,0,0,0,0
45,Gran Torre Santiago,261,623,609,535,517,522,521
46,GE Building,259.1,23,14,0,0,-2,0
47,Tianjin Tower,257,1,2,1,2,3,0
48,40 Wall Street,255,14,0,-3,0,0,0
49,Osaka Prefectural Government Sakishima Building,252,11,-2,0,0,-7,-7
50,Etihad Towers (Tower 1),251.2,3,0,-2,0,0,0
51,63 Building,249,32,5,7,5,5,2
52,Midland Square,247,14,-6,0,0,-1,-4
53,Lotus Tower,245,11,5,0,0,0,0
54,The Shard,244.8,16,2,5,5,2,5
55,Central Radio & TV Tower,238,55,49,54,50,50,47
56,Sunshine 60,237.6,46,29,14,23,7,4
57,Federation Tower (Tower West),235,114,120,119,120,123,124
58,TK Elevator Test Tower,232,589,531,534,523,535,598
59,Q1,230,18,0,-1,0,0,0
60,West Pearl Tower,230,494,493,494,492,489,488
61,Varso Tower,230,111,110,89,73,84,79
62,Roppongi Hills Mori Tower,229.3,39,12,14,7,0,0
63,Taipei Nan Shan Plaza,228.5,21,8,13,8,-10,9
64,Europaturm,227,119,98,98,96,97,97
65,Tokyo Tower,223.5,43,10,0,0,1,0
66,Macau Tower,223,18,0,0,0,0,-2
67,Sky Tower,220,44,2,0,0,0,0
68,Tour Montparnasse,209,56,41,26,28,36,37
69,Fernsehturm Berlin,207,41,31,30,32,32,35
70,Tokyo Metropolitan Government Building,202,41,26,35,18,27,28
71,Main Tower,200,109,91,97,99,97,96
72,Marina Bay Sands,200,10,0,0,0,0,0
73,Olympiaturm,192,508,507,503,497,495,490
74,Mohammed VI Tower,190,1,0,0,0,0,0
75,Vysotsky,186,254,241,234,240,241,234
76,Bitexco Financial Tower,181,11,-1,-1,-4,2,-1
77,Tower of the Americas,176,214,197,190,187,179,186
78,Rheinturm,170,32,27,26,33,25,34
79,Umeda Sky Building,170,3,0,-2,0,-1,0
80,Tallinn TV Tower,170,35,15,18,12,0,0
81,Donauturm,169.4,168,152,154,152,156,155
82,N Seoul Tower,168.3,255,34,16,16,5,4
83,Vilnius TV Tower,165,172,88,85,91,84,108
84,Space Needle,158.5,60,0,0,0,0,0
85,Calgary Tower,157.5,1060,1037,1034,1028,1034,1042
86,Fernsehturm Stuttgart,153,492,353,252,253,222,223
87,Çamlıca Tower,153,213,71,14,18,0,-1
88,Avala Tower,135,431,234,156,122,107,114
89,Fukuoka Tower,123,25,-3,0,0,0,0
90,Kuwait viewing sphere,120,3,0,0,0,0,0
91,Palace of Culture and Science,114,124,109,77,82,82,80
92,Spinnaker Tower,110,0,-1,-1,0,0,0
93,Millennium Center,105,170,168,177,158,167,172
94,Kyoto Tower,100,46,23,18,19,20,16
95,Nagoya TV Tower,100,30,13,3,3,-3,1
96,Tashkent Tower,97,468,460,455,444,440,439
97,Snezhanka Tower,93,1927,1665,1488,1426,1321,1278
98,Kobe Port Tower,90.8,0,0,-1,-3,0,0
99,Sapporo TV Tower,90,26,18,15,10,11,9
100,Tsūtenkaku,87.5,8,7,1,-2,0,0
101,Nebraska State Capitol,75,378,355,347,347,348,351
102,Ashcol,75,473,196,62,3,4,3
